casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
1.0,27.0,4.0,17.0,2.0,12.0,0.0,0.0,0.0,4889,1/1/20
0.0,16.0,4.0,17.0,2.0,5.0,0.0,0.0,0.0,1044,2/1/20
1.0,23.0,7.0,19.0,3.0,6.0,0.0,0.0,0.0,2140,3/1/20
0.0,21.0,4.0,18.0,2.0,7.0,0.0,0.0,0.0,2577,4/1/20
0.0,16.0,5.0,15.0,2.0,10.0,0.0,0.0,0.0,1457,5/1/20
0.0,19.0,5.0,15.0,3.0,5.0,0.0,0.0,0.0,1739,6/1/20
0.0,18.0,6.0,17.0,1.0,7.0,0.0,0.0,0.0,1888,7/1/20
0.0,17.0,5.0,19.0,3.0,8.0,0.0,0.0,0.0,646,8/1/20
0.0,19.0,5.0,17.0,2.0,10.0,0.0,0.0,0.0,2101,9/1/20
1.0,15.0,4.0,17.0,3.0,9.0,0.0,0.0,0.0,523,10/1/20
1.0,22.0,5.0,21.0,3.0,13.0,0.0,0.0,0.0,2180,11/1/20
1.0,20.0,4.0,22.0,4.0,10.0,0.0,0.0,0.0,979,12/1/20
2.0,17.0,2.0,21.0,5.0,9.0,0.0,0.0,0.0,23,13/1/20
0.0,14.0,4.0,20.0,3.0,7.0,0.0,0.0,0.0,-357,14/1/20
1.0,18.0,5.0,19.0,4.0,7.0,0.0,0.0,0.0,500,15/1/20
1.0,14.0,3.0,22.0,4.0,5.0,0.0,0.0,0.0,-1027,16/1/20
1.0,17.0,5.0,18.0,3.0,8.0,0.0,0.0,0.0,799,17/1/20
2.0,17.0,6.0,18.0,3.0,12.0,0.0,0.0,0.0,854,18/1/20
0.0,18.0,4.0,28.0,3.0,7.0,0.0,0.0,0.0,-319,19/1/20
3.0,15.0,3.0,18.0,4.0,7.0,0.0,0.0,0.0,6,20/1/20
0.0,16.0,6.0,22.0,1.0,7.0,0.0,0.0,0.0,487,21/1/20
0.0,15.0,3.0,19.0,2.0,6.0,0.0,0.0,0.0,623,22/1/20
2.0,18.0,4.0,19.0,4.0,10.0,0.0,0.0,0.0,806,23/1/20
2.0,16.0,7.0,23.0,2.0,9.0,0.0,0.0,0.0,-125,24/1/20
1.0,19.0,9.0,25.0,2.0,9.0,0.0,0.0,0.0,214,25/1/20
2.0,19.0,6.0,27.0,2.0,10.0,0.0,0.0,0.0,414,26/1/20
1.0,17.0,4.0,25.0,4.0,10.0,0.0,0.0,0.0,-431,27/1/20
1.0,17.0,4.0,23.0,5.0,8.0,0.0,0.0,0.0,-638,28/1/20
4.0,20.0,4.0,21.0,4.0,8.0,0.0,0.0,0.0,1029,29/1/20
1.0,15.0,4.0,23.0,4.0,11.0,0.0,0.0,0.0,-706,30/1/20
3.0,15.0,5.0,20.0,4.0,9.0,0.0,0.0,0.0,-500,31/1/20
16.0,19.0,4.0,20.0,5.0,10.0,0.0,0.0,0.0,558,1/2/20
10.0,25.0,4.0,22.0,5.0,11.0,0.0,0.0,0.0,2203,2/2/20
11.0,12.0,4.0,23.0,4.0,9.0,0.0,0.0,0.0,-1759,3/2/20
9.0,18.0,5.0,23.0,4.0,12.0,0.0,0.0,0.0,144,4/2/20
6.0,14.0,8.0,19.0,3.0,8.0,0.0,0.0,0.0,-758,5/2/20
9.0,15.0,5.0,20.0,6.0,10.0,0.0,0.0,0.0,-1270,6/2/20
16.0,18.0,3.0,20.0,3.0,7.0,0.0,0.0,0.0,1060,7/2/20
9.0,16.0,6.0,23.0,4.0,10.0,0.0,0.0,0.0,-743,8/2/20
3.0,22.0,2.0,21.0,3.0,9.0,0.0,0.0,0.0,2429,9/2/20
22.0,14.0,5.0,23.0,5.0,11.0,0.0,0.0,0.0,-1585,10/2/20
13.0,13.0,5.0,24.0,2.0,7.0,0.0,0.0,0.0,-1029,11/2/20
23.0,19.0,4.0,19.0,3.0,7.0,0.0,0.0,0.0,1379,12/2/20
24.0,11.0,4.0,16.0,4.0,10.0,0.0,0.0,0.0,-949,13/2/20
19.0,13.0,6.0,19.0,3.0,10.0,0.0,0.0,0.0,-668,14/2/20
35.0,17.0,5.0,19.0,5.0,11.0,0.0,0.0,0.0,-20,15/2/20
23.0,16.0,3.0,24.0,3.0,10.0,0.0,0.0,0.0,-31,16/2/20
27.0,14.0,5.0,18.0,4.0,10.0,0.0,0.0,0.0,-458,17/2/20
27.0,14.0,5.0,19.0,4.0,10.0,0.0,0.0,0.0,-611,18/2/20
17.0,13.0,5.0,19.0,3.0,7.0,0.0,0.0,0.0,-672,19/2/20
53.0,15.0,6.0,19.0,5.0,13.0,0.0,0.0,0.0,-702,20/2/20
59.0,14.0,5.0,14.0,3.0,7.0,0.0,0.0,0.0,412,21/2/20
58.0,14.0,3.0,20.0,3.0,11.0,0.0,1.0,0.0,185,22/2/20
73.0,12.0,6.0,16.0,2.0,12.0,0.0,1.0,0.0,174,23/2/20
107.0,20.0,4.0,21.0,1.0,6.0,0.0,7.0,0.0,3455,24/2/20
129.0,17.0,5.0,21.0,4.0,8.0,0.0,3.0,0.0,483,25/2/20
146.0,16.0,7.0,38.0,3.0,9.0,0.0,8.0,0.0,-1358,26/2/20
180.0,14.0,4.0,23.0,4.0,7.0,0.0,2.0,0.0,-859,27/2/20
318.0,17.0,5.0,28.0,3.0,9.0,0.0,2.0,0.0,-313,28/2/20
243.0,16.0,7.0,27.0,3.0,10.0,1.0,2.0,0.0,-316,29/2/20
690.0,16.0,5.0,23.0,5.0,9.0,0.0,1.0,0.0,-869,1/3/20
801.0,18.0,4.0,21.0,4.0,11.0,0.0,5.0,0.0,1476,2/3/20
801.0,18.0,5.0,25.0,4.0,7.0,0.0,3.0,0.0,134,3/3/20
954.0,19.0,7.0,22.0,2.0,11.0,0.0,2.0,1.0,1583,4/3/20
1284.0,17.0,7.0,26.0,4.0,10.0,2.0,3.0,0.0,340,5/3/20
1628.0,17.0,3.0,21.0,3.0,8.0,0.0,3.0,0.0,1197,6/3/20
1868.0,14.0,5.0,27.0,3.0,10.0,0.0,1.0,0.0,-1243,7/3/20
2192.0,18.0,6.0,28.0,3.0,10.0,1.0,3.0,3.0,895,8/3/20
3407.0,21.0,5.0,38.0,6.0,11.0,0.0,9.0,0.0,-416,9/3/20
4666.0,29.0,9.0,51.0,4.0,12.0,0.0,15.0,2.0,1763,10/3/20
4743.0,33.0,10.0,65.0,5.0,11.0,0.0,8.0,0.0,-1293,11/3/20
5942.0,43.0,13.0,88.0,4.0,15.0,2.0,25.0,7.0,3399,12/3/20
7806.0,53.0,14.0,94.0,4.0,16.0,3.0,22.0,6.0,5271,13/3/20
7467.0,51.0,14.0,92.0,3.0,18.0,1.0,18.0,5.0,3762,14/3/20
7937.0,50.0,18.0,100.0,4.0,17.0,1.0,26.0,7.0,2892,15/3/20
9473.0,47.0,11.0,79.0,2.0,18.0,2.0,22.0,6.0,6641,16/3/20
8837.0,44.0,15.0,73.0,2.0,14.0,3.0,24.0,6.0,6582,17/3/20
8970.0,39.0,11.0,79.0,2.0,16.0,5.0,22.0,9.0,5636,18/3/20
8664.0,43.0,13.0,68.0,4.0,15.0,2.0,32.0,13.0,8557,19/3/20
10662.0,47.0,14.0,67.0,3.0,18.0,3.0,33.0,9.0,10462,20/3/20
7426.0,41.0,15.0,75.0,4.0,17.0,1.0,23.0,33.0,7208,21/3/20
6777.0,46.0,12.0,72.0,2.0,14.0,4.0,39.0,13.0,11936,22/3/20
8265.0,36.0,11.0,52.0,2.0,20.0,2.0,14.0,14.0,6980,23/3/20
7127.0,28.0,9.0,55.0,2.0,18.0,1.0,20.0,8.0,4093,24/3/20
6947.0,29.0,10.0,48.0,4.0,16.0,4.0,23.0,11.0,6595,25/3/20
6361.0,34.0,12.0,57.0,3.0,16.0,4.0,17.0,14.0,6190,26/3/20
6063.0,36.0,15.0,66.0,4.0,21.0,2.0,16.0,12.0,3560,27/3/20
5364.0,37.0,16.0,66.0,5.0,28.0,3.0,22.0,13.0,5331,28/3/20
4245.0,38.0,13.0,69.0,3.0,24.0,5.0,10.0,11.0,4596,29/3/20
5154.0,31.0,10.0,54.0,4.0,16.0,2.0,17.0,9.0,4108,30/3/20
4417.0,30.0,10.0,62.0,2.0,19.0,5.0,14.0,11.0,4485,31/3/20
5490.0,30.0,10.0,49.0,5.0,15.0,3.0,17.0,11.0,4773,1/4/20
4453.0,27.0,14.0,40.0,4.0,24.0,5.0,16.0,14.0,6509,2/4/20
4465.0,21.0,10.0,48.0,4.0,20.0,4.0,14.0,10.0,2470,3/4/20
3670.0,26.0,10.0,46.0,2.0,20.0,3.0,13.0,12.0,4849,4/4/20
3220.0,20.0,14.0,41.0,4.0,18.0,5.0,8.0,14.0,2348,5/4/20
3537.0,19.0,10.0,36.0,5.0,23.0,4.0,10.0,15.0,3342,6/4/20
3201.0,18.0,6.0,41.0,4.0,23.0,3.0,11.0,19.0,3574,7/4/20
3481.0,21.0,9.0,32.0,3.0,18.0,1.0,12.0,18.0,4834,8/4/20
3288.0,26.0,9.0,51.0,8.0,21.0,4.0,21.0,21.0,4898,9/4/20
3181.0,22.0,6.0,34.0,5.0,15.0,3.0,13.0,16.0,5067,10/4/20
2887.0,19.0,8.0,34.0,4.0,21.0,5.0,14.0,16.0,5544,11/4/20
2266.0,20.0,6.0,30.0,4.0,18.0,1.0,14.0,13.0,4579,12/4/20
2200.0,15.0,8.0,46.0,3.0,16.0,4.0,10.0,29.0,3149,13/4/20
2270.0,17.0,10.0,36.0,6.0,23.0,6.0,13.0,33.0,6050,14/4/20
2388.0,15.0,6.0,35.0,4.0,15.0,10.0,16.0,22.0,7340,15/4/20
2297.0,17.0,8.0,30.0,3.0,18.0,1.0,15.0,22.0,5108,16/4/20
1918.0,23.0,9.0,40.0,6.0,17.0,5.0,10.0,24.0,5024,17/4/20
1679.0,14.0,8.0,31.0,7.0,18.0,3.0,15.0,22.0,3185,18/4/20
1153.0,21.0,9.0,31.0,4.0,19.0,1.0,12.0,21.0,5023,19/4/20
1492.0,12.0,4.0,30.0,4.0,12.0,3.0,16.0,19.0,4024,20/4/20
1337.0,13.0,7.0,23.0,4.0,16.0,2.0,9.0,24.0,4118,21/4/20
1481.0,18.0,7.0,28.0,3.0,14.0,5.0,11.0,34.0,8168,22/4/20
1191.0,14.0,7.0,26.0,7.0,16.0,3.0,14.0,32.0,5134,23/4/20
1136.0,11.0,5.0,29.0,5.0,17.0,4.0,9.0,30.0,4123,24/4/20
763.0,14.0,10.0,33.0,3.0,18.0,3.0,7.0,37.0,4715,25/4/20
564.0,17.0,5.0,39.0,5.0,19.0,3.0,8.0,26.0,3466,26/4/20
709.0,13.0,5.0,28.0,4.0,13.0,5.0,11.0,36.0,6688,27/4/20
864.0,9.0,3.0,24.0,4.0,15.0,4.0,14.0,30.0,5794,28/4/20
759.0,14.0,6.0,26.0,3.0,10.0,4.0,9.0,34.0,6370,29/4/20
756.0,14.0,7.0,24.0,5.0,13.0,1.0,8.0,38.0,4964,30/4/20
741.0,14.0,9.0,25.0,4.0,23.0,1.0,9.0,16.0,2719,1/5/20
670.0,16.0,6.0,24.0,6.0,22.0,4.0,12.0,25.0,6066,2/5/20
462.0,14.0,6.0,29.0,6.0,19.0,4.0,13.0,14.0,3245,3/5/20
524.0,10.0,6.0,25.0,4.0,15.0,4.0,13.0,27.0,4922,4/5/20
325.0,10.0,4.0,23.0,3.0,19.0,5.0,9.0,29.0,6085,5/5/20
310.0,10.0,4.0,20.0,8.0,21.0,3.0,15.0,29.0,4880,6/5/20
310.0,15.0,3.0,27.0,5.0,12.0,5.0,11.0,38.0,7579,7/5/20
314.0,11.0,6.0,27.0,6.0,16.0,4.0,9.0,35.0,4475,8/5/20
263.0,9.0,8.0,25.0,5.0,18.0,4.0,11.0,31.0,4203,9/5/20
280.0,10.0,7.0,22.0,7.0,13.0,3.0,13.0,21.0,2691,10/5/20
591.0,11.0,8.0,26.0,6.0,12.0,5.0,11.0,30.0,4243,11/5/20
558.0,9.0,5.0,21.0,4.0,13.0,4.0,12.0,40.0,6796,12/5/20
598.0,13.0,3.0,23.0,4.0,18.0,3.0,15.0,46.0,9251,13/5/20
541.0,8.0,5.0,26.0,5.0,18.0,8.0,15.0,32.0,6709,14/5/20
579.0,10.0,5.0,22.0,7.0,16.0,3.0,14.0,35.0,5180,15/5/20
328.0,10.0,4.0,23.0,8.0,21.0,3.0,15.0,27.0,4156,16/5/20
305.0,15.0,6.0,23.0,6.0,15.0,0.0,14.0,18.0,3340,17/5/20
566.0,12.0,3.0,29.0,2.0,13.0,5.0,12.0,25.0,6078,18/5/20
591.0,9.0,3.0,23.0,4.0,13.0,5.0,12.0,27.0,5491,19/5/20
489.0,4.0,4.0,28.0,5.0,10.0,1.0,15.0,19.0,273,20/5/20
524.0,7.0,6.0,21.0,7.0,16.0,6.0,10.0,27.0,3674,21/5/20
573.0,8.0,4.0,22.0,5.0,11.0,1.0,11.0,22.0,2168,22/5/20
326.0,6.0,3.0,31.0,7.0,16.0,2.0,8.0,16.0,-1193,23/5/20
316.0,9.0,7.0,20.0,3.0,13.0,4.0,12.0,20.0,4421,24/5/20
572.0,7.0,4.0,27.0,5.0,13.0,7.0,7.0,26.0,3448,25/5/20
564.0,13.0,5.0,19.0,6.0,12.0,2.0,18.0,29.0,6333,26/5/20
437.0,10.0,7.0,27.0,4.0,13.0,2.0,9.0,28.0,2927,27/5/20
521.0,9.0,4.0,21.0,3.0,16.0,4.0,12.0,17.0,4481,28/5/20
507.0,7.0,4.0,19.0,4.0,12.0,4.0,16.0,20.0,4673,29/5/20
315.0,11.0,5.0,24.0,7.0,13.0,3.0,11.0,20.0,2502,30/5/20
232.0,10.0,5.0,21.0,9.0,21.0,6.0,10.0,15.0,2629,31/5/20
442.0,7.0,5.0,25.0,7.0,10.0,3.0,12.0,31.0,2562,1/6/20
411.0,7.0,3.0,25.0,12.0,8.0,3.0,11.0,19.0,-1060,2/6/20
452.0,8.0,8.0,19.0,4.0,13.0,3.0,10.0,18.0,2649,3/6/20
408.0,9.0,5.0,19.0,7.0,12.0,3.0,13.0,17.0,2559,4/6/20
489.0,5.0,2.0,17.0,5.0,11.0,3.0,14.0,24.0,3932,5/6/20
259.0,9.0,4.0,20.0,5.0,16.0,4.0,5.0,8.0,1330,6/6/20
235.0,14.0,4.0,21.0,7.0,17.0,4.0,6.0,16.0,3230,7/6/20
432.0,10.0,5.0,19.0,4.0,10.0,2.0,12.0,15.0,3145,8/6/20
355.0,9.0,3.0,21.0,5.0,15.0,2.0,11.0,17.0,2750,9/6/20
373.0,6.0,4.0,14.0,5.0,13.0,1.0,6.0,14.0,886,10/6/20
334.0,7.0,5.0,28.0,7.0,17.0,3.0,10.0,16.0,115,11/6/20
379.0,3.0,2.0,25.0,6.0,16.0,1.0,9.0,17.0,-754,12/6/20
164.0,6.0,5.0,26.0,4.0,18.0,3.0,9.0,14.0,941,13/6/20
187.0,9.0,3.0,22.0,4.0,13.0,1.0,9.0,9.0,1066,14/6/20
331.0,5.0,3.0,24.0,6.0,14.0,4.0,12.0,14.0,1174,15/6/20
308.0,6.0,2.0,23.0,4.0,11.0,1.0,5.0,16.0,193,16/6/20
299.0,5.0,4.0,22.0,6.0,12.0,3.0,6.0,14.0,-296,17/6/20
310.0,6.0,6.0,18.0,6.0,11.0,3.0,13.0,13.0,1443,18/6/20
294.0,7.0,4.0,15.0,8.0,14.0,2.0,7.0,14.0,465,19/6/20
280.0,8.0,2.0,22.0,9.0,17.0,1.0,12.0,14.0,267,20/6/20
256.0,7.0,4.0,23.0,5.0,23.0,5.0,10.0,13.0,2595,21/6/20
324.0,7.0,4.0,18.0,4.0,13.0,1.0,4.0,15.0,761,22/6/20
362.0,8.0,2.0,23.0,9.0,9.0,2.0,11.0,19.0,587,23/6/20
410.0,4.0,5.0,28.0,8.0,12.0,4.0,11.0,14.0,-1170,24/6/20
378.0,10.0,4.0,19.0,10.0,13.0,1.0,9.0,17.0,281,25/6/20
417.0,5.0,3.0,19.0,5.0,16.0,2.0,8.0,18.0,1418,26/6/20
336.0,6.0,5.0,23.0,6.0,12.0,1.0,12.0,12.0,-262,27/6/20
287.0,9.0,3.0,25.0,5.0,11.0,4.0,17.0,10.0,2941,28/6/20
427.0,4.0,4.0,15.0,5.0,12.0,3.0,12.0,23.0,3169,29/6/20
467.0,4.0,4.0,20.0,7.0,13.0,3.0,11.0,15.0,391,30/6/20
586.0,7.0,4.0,17.0,5.0,12.0,1.0,9.0,14.0,1246,1/7/20
457.0,6.0,5.0,18.0,6.0,16.0,2.0,8.0,14.0,647,2/7/20
579.0,7.0,5.0,26.0,5.0,12.0,1.0,11.0,8.0,-708,3/7/20
461.0,6.0,2.0,22.0,4.0,16.0,0.0,10.0,8.0,64,4/7/20
463.0,8.0,9.0,29.0,5.0,19.0,2.0,13.0,8.0,-314,5/7/20
754.0,5.0,3.0,26.0,7.0,14.0,3.0,15.0,20.0,1390,6/7/20
834.0,6.0,5.0,22.0,3.0,10.0,3.0,14.0,15.0,2611,7/7/20
945.0,6.0,3.0,26.0,6.0,15.0,2.0,16.0,12.0,887,8/7/20
957.0,9.0,5.0,20.0,7.0,14.0,1.0,15.0,13.0,1527,9/7/20
1179.0,7.0,3.0,23.0,9.0,13.0,1.0,17.0,15.0,496,10/7/20
916.0,8.0,2.0,23.0,10.0,8.0,1.0,13.0,9.0,-1235,11/7/20
897.0,8.0,6.0,20.0,5.0,14.0,1.0,17.0,11.0,1988,12/7/20
1439.0,7.0,5.0,27.0,7.0,13.0,5.0,14.0,16.0,1627,13/7/20
1561.0,5.0,4.0,26.0,7.0,10.0,1.0,13.0,19.0,-294,14/7/20
1888.0,7.0,7.0,19.0,10.0,13.0,2.0,27.0,19.0,2884,15/7/20
1747.0,10.0,4.0,19.0,7.0,10.0,4.0,38.0,8.0,6778,16/7/20
2065.0,8.0,4.0,20.0,5.0,14.0,1.0,38.0,16.0,6837,17/7/20
1839.0,5.0,8.0,29.0,8.0,13.0,4.0,27.0,20.0,2342,18/7/20
1642.0,12.0,9.0,25.0,9.0,13.0,6.0,31.0,12.0,5122,19/7/20
2400.0,7.0,8.0,23.0,12.0,11.0,6.0,29.0,23.0,3740,20/7/20
2413.0,7.0,5.0,24.0,12.0,11.0,6.0,35.0,31.0,6207,21/7/20
2466.0,7.0,7.0,24.0,9.0,19.0,3.0,39.0,23.0,5999,22/7/20
2314.0,7.0,8.0,25.0,5.0,17.0,4.0,39.0,27.0,8174,23/7/20
2541.0,11.0,9.0,24.0,7.0,11.0,3.0,42.0,21.0,7663,24/7/20
2131.0,9.0,5.0,21.0,11.0,10.0,7.0,40.0,25.0,8207,25/7/20
1982.0,8.0,8.0,37.0,6.0,12.0,5.0,42.0,23.0,6419,26/7/20
3046.0,8.0,9.0,22.0,7.0,12.0,2.0,39.0,27.0,6895,27/7/20
3165.0,7.0,6.0,25.0,8.0,10.0,6.0,46.0,22.0,8344,28/7/20
3272.0,8.0,7.0,30.0,7.0,17.0,2.0,33.0,27.0,5117,29/7/20
3142.0,10.0,4.0,32.0,7.0,16.0,8.0,45.0,42.0,12519,30/7/20
3634.0,6.0,10.0,37.0,6.0,7.0,3.0,38.0,30.0,4582,31/7/20
3740.0,7.0,7.0,20.0,5.0,15.0,4.0,48.0,22.0,9997,1/8/20
2861.0,10.0,3.0,32.0,5.0,15.0,9.0,44.0,15.0,10109,2/8/20
4155.0,6.0,6.0,27.0,8.0,17.0,3.0,50.0,23.0,7717,3/8/20
4724.0,12.0,5.0,28.0,8.0,19.0,7.0,53.0,24.0,12055,4/8/20
4645.0,12.0,7.0,20.0,10.0,20.0,6.0,58.0,21.0,12328,5/8/20
4628.0,6.0,9.0,34.0,5.0,15.0,6.0,60.0,30.0,11328,6/8/20
5380.0,9.0,5.0,27.0,5.0,15.0,6.0,71.0,24.0,15205,7/8/20
4268.0,7.0,11.0,31.0,4.0,14.0,6.0,57.0,20.0,10288,8/8/20
4075.0,10.0,10.0,38.0,8.0,14.0,5.0,64.0,26.0,10346,9/8/20
6112.0,10.0,6.0,34.0,9.0,14.0,9.0,74.0,37.0,16106,10/8/20
6436.0,9.0,5.0,30.0,9.0,13.0,10.0,79.0,28.0,16654,11/8/20
6543.0,14.0,12.0,33.0,5.0,16.0,4.0,60.0,28.0,12524,12/8/20
6330.0,9.0,6.0,63.0,8.0,12.0,11.0,77.0,37.0,13024,13/8/20
7158.0,11.0,10.0,41.0,10.0,13.0,8.0,77.0,45.0,15477,14/8/20
5658.0,10.0,7.0,41.0,8.0,13.0,6.0,58.0,26.0,9590,15/8/20
4975.0,10.0,10.0,58.0,9.0,22.0,9.0,76.0,35.0,12334,16/8/20
7179.0,8.0,9.0,44.0,7.0,15.0,6.0,86.0,39.0,15604,17/8/20
8404.0,11.0,10.0,36.0,11.0,19.0,8.0,86.0,41.0,17282,18/8/20
8404.0,6.0,6.0,43.0,10.0,16.0,9.0,81.0,33.0,13918,19/8/20
8372.0,11.0,12.0,40.0,7.0,17.0,8.0,97.0,32.0,18755,20/8/20
9565.0,8.0,7.0,59.0,2.0,22.0,10.0,83.0,39.0,17114,21/8/20
6696.0,12.0,10.0,60.0,6.0,20.0,11.0,80.0,38.0,15751,22/8/20
5950.0,17.0,9.0,54.0,7.0,19.0,14.0,82.0,26.0,17970,23/8/20
8202.0,10.0,9.0,44.0,8.0,19.0,8.0,91.0,34.0,17124,24/8/20
10174.0,13.0,7.0,35.0,7.0,19.0,7.0,85.0,41.0,19570,25/8/20
9746.0,13.0,7.0,40.0,7.0,17.0,9.0,82.0,41.0,18968,26/8/20
9417.0,9.0,7.0,33.0,6.0,16.0,13.0,80.0,38.0,20019,27/8/20
10874.0,8.0,7.0,41.0,7.0,16.0,8.0,85.0,21.0,14686,28/8/20
7328.0,9.0,10.0,38.0,10.0,17.0,5.0,73.0,21.0,10369,29/8/20
6399.0,11.0,13.0,44.0,10.0,16.0,4.0,69.0,32.0,9872,30/8/20
8431.0,13.0,8.0,36.0,8.0,14.0,9.0,74.0,37.0,16857,31/8/20
11359.0,13.0,7.0,33.0,5.0,18.0,7.0,68.0,38.0,17105,1/9/20
10525.0,17.0,9.0,61.0,8.0,36.0,6.0,78.0,48.0,16223,2/9/20
10403.0,15.0,12.0,47.0,5.0,28.0,4.0,47.0,48.0,11541,3/9/20
11519.0,17.0,3.0,53.0,9.0,29.0,1.0,75.0,48.0,14971,4/9/20
8763.0,15.0,6.0,46.0,16.0,22.0,3.0,48.0,42.0,6755,5/9/20
7422.0,18.0,11.0,50.0,2.0,24.0,15.0,68.0,30.0,19258,6/9/20
9444.0,12.0,12.0,39.0,8.0,19.0,3.0,58.0,46.0,11482,7/9/20
11439.0,13.0,10.0,47.0,12.0,17.0,5.0,60.0,43.0,9926,8/9/20
11871.0,23.0,11.0,45.0,15.0,23.0,8.0,72.0,47.0,16311,9/9/20
11639.0,17.0,9.0,39.0,7.0,28.0,12.0,55.0,39.0,16628,10/9/20
12165.0,13.0,8.0,45.0,7.0,16.0,10.0,49.0,29.0,10718,11/9/20
9409.0,15.0,9.0,69.0,15.0,28.0,3.0,66.0,30.0,5240,12/9/20
8107.0,31.0,9.0,72.0,11.0,25.0,5.0,60.0,34.0,11577,13/9/20
10694.0,22.0,14.0,60.0,8.0,24.0,9.0,50.0,40.0,11582,14/9/20
12294.0,19.0,10.0,54.0,13.0,31.0,13.0,60.0,29.0,12516,15/9/20
12170.0,18.0,9.0,50.0,6.0,33.0,7.0,63.0,33.0,14554,16/9/20
11684.0,21.0,11.0,39.0,13.0,26.0,8.0,76.0,36.0,16866,17/9/20
14323.0,21.0,15.0,59.0,6.0,16.0,8.0,62.0,40.0,13485,18/9/20
8530.0,19.0,14.0,52.0,6.0,22.0,10.0,50.0,22.0,10618,19/9/20
7291.0,29.0,13.0,61.0,6.0,19.0,8.0,94.0,16.0,18930,20/9/20
9966.0,14.0,14.0,47.0,15.0,19.0,9.0,70.0,49.0,12798,21/9/20
12468.0,26.0,12.0,41.0,6.0,25.0,9.0,66.0,40.0,19905,22/9/20
11808.0,14.0,7.0,47.0,7.0,18.0,9.0,68.0,53.0,17252,23/9/20
11287.0,17.0,13.0,49.0,7.0,28.0,9.0,73.0,51.0,18164,24/9/20
11916.0,19.0,9.0,54.0,11.0,21.0,5.0,62.0,55.0,13472,25/9/20
7868.0,19.0,6.0,41.0,9.0,32.0,7.0,63.0,36.0,15818,26/9/20
6398.0,22.0,15.0,42.0,12.0,27.0,3.0,79.0,31.0,14413,27/9/20
9238.0,25.0,7.0,40.0,7.0,19.0,14.0,67.0,32.0,20970,28/9/20
10697.0,18.0,8.0,50.0,6.0,17.0,3.0,59.0,34.0,11621,29/9/20
10141.0,22.0,17.0,49.0,10.0,20.0,5.0,56.0,30.0,9931,30/9/20
10734.0,24.0,17.0,34.0,10.0,15.0,7.0,45.0,25.0,10738,1/10/20
11053.0,14.0,8.0,37.0,6.0,18.0,9.0,52.0,23.0,12130,2/10/20
8094.0,15.0,8.0,32.0,8.0,20.0,4.0,54.0,33.0,12123,3/10/20
7516.0,29.0,12.0,33.0,5.0,19.0,5.0,62.0,13.0,16235,4/10/20
11228.0,20.0,11.0,46.0,6.0,21.0,7.0,52.0,32.0,12711,5/10/20
12711.0,13.0,16.0,43.0,7.0,14.0,3.0,49.0,26.0,6428,6/10/20
12429.0,13.0,13.0,47.0,15.0,24.0,5.0,46.0,29.0,4162,7/10/20
12648.0,27.0,7.0,46.0,3.0,23.0,11.0,70.0,36.0,22379,8/10/20
13551.0,18.0,14.0,33.0,7.0,20.0,3.0,58.0,41.0,13804,9/10/20
10921.0,28.0,9.0,31.0,5.0,27.0,10.0,46.0,30.0,18434,10/10/20
8996.0,24.0,16.0,37.0,7.0,24.0,3.0,55.0,11.0,10483,11/10/20
10957.0,22.0,9.0,44.0,9.0,29.0,3.0,71.0,24.0,13948,12/10/20
14364.0,13.0,11.0,52.0,9.0,22.0,4.0,69.0,18.0,8455,13/10/20
16325.0,20.0,10.0,38.0,11.0,21.0,6.0,62.0,24.0,12420,14/10/20
16464.0,18.0,10.0,40.0,7.0,25.0,9.0,75.0,38.0,18819,15/10/20
17465.0,17.0,9.0,44.0,8.0,21.0,5.0,72.0,46.0,16272,16/10/20
